17_P_FA_S27_R2_001_val_2	2154.0	2198.0	2686.0	2351.0	2557.0	2292.0	2268.0	2038.0	2079.0	1870.0	2094.0	2198.0	2261.0	2496.0	2518.0	2956.0	3200.0	3533.0	3465.0	3805.0	4369.0	5234.0	6821.0	10179.0	33864.0	106546.0	2042498.0	4987903.0	2924267.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
17_R_SN_S13_R1_001_val_1	3273.0	9328.0	32467.0	58740.0	88535.0	125888.0	177420.0	193250.0	202611.0	230570.0	253400.0	241962.0	223176.0	222337.0	240404.0	310829.0	326166.0	276573.0	241822.0	232937.0	230159.0	229718.0	223158.0	266317.0	943498.0	1234586.0	3794651.0	279750.0	8342889.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
17_R_SN_S13_R2_001_val_2	2893.0	2977.0	3557.0	3280.0	3396.0	3118.0	2845.0	2850.0	2636.0	2654.0	2746.0	2826.0	2920.0	2955.0	3145.0	3587.0	3901.0	4118.0	4352.0	4990.0	5618.0	7077.0	9333.0	14357.0	60166.0	196956.0	3779272.0	9440668.0	5657221.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
18_HS_S7_R1_001_val_1	4203.0	11499.0	38984.0	67683.0	99303.0	140072.0	195735.0	206386.0	220595.0	255090.0	279733.0	263205.0	244203.0	242727.0	262878.0	348937.0	357012.0	301817.0	265613.0	254596.0	253123.0	250174.0	243337.0	294154.0	1077583.0	1253024.0	3663383.0	268959.0	8083191.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
18_HS_S7_R2_001_val_2	2420.0	2568.0	3110.0	2863.0	2993.0	2586.0	2660.0	2465.0	2307.0	2541.0	2507.0	2561.0	2724.0	2735.0	2927.0	3434.0	3874.0	3967.0	4362.0	4937.0	5486.0	6954.0	9314.0	14076.0	64613.0	212594.0	4047280.0	9488118.0	5538223.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
18_P_CD_S28_R1_001_val_1	2541.0	7728.0	23111.0	42521.0	64979.0	92729.0	122562.0	131875.0	140159.0	160974.0	178201.0	179012.0	170806.0	168395.0	190379.0	261648.0	270432.0	222873.0	197650.0	199425.0	206761.0	209854.0	205132.0	240666.0	800571.0	1190093.0	3695426.0	285405.0	8149864.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
18_P_CD_S28_R2_001_val_2	2544.0	2681.0	3300.0	2894.0	3326.0	2861.0	2906.0	2514.0	2474.0	2422.0	2496.0	2737.0	2842.0	2903.0	3137.0	3490.0	3942.0	4160.0	4430.0	4859.0	5457.0	7022.0	9541.0	14108.0	50492.0	159834.0	3336741.0	8776520.0	5389139.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
18_R_GS_S14_R1_001_val_1	2482.0	6660.0	23602.0	42676.0	62720.0	88129.0	122927.0	134806.0	141375.0	161373.0	179201.0	172372.0	159981.0	155671.0	170240.0	220829.0	237802.0	205618.0	178808.0	173000.0	171935.0	172166.0	167462.0	195743.0	681355.0	949777.0	2941303.0	215998.0	6388457.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
18_R_GS_S14_R2_001_val_2	2270.0	2184.0	2719.0	2391.0	2482.0	2350.0	2077.0	1977.0	1835.0	1863.0	1949.0	2074.0	2131.0	2143.0	2320.0	2692.0	2876.0	3040.0	3428.0	3804.0	4314.0	5626.0	7358.0	10894.0	43004.0	141897.0	2744018.0	7110248.0	4408504.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
19_P_CS_S29_R1_001_val_1	2754.0	7011.0	23506.0	43097.0	65882.0	96401.0	136888.0	151474.0	160019.0	185898.0	208070.0	202373.0	191314.0	191583.0	210794.0	280514.0	298418.0	255864.0	222870.0	218343.0	222271.0	223751.0	217058.0	256443.0	930341.0	1297714.0	4101284.0	300390.0	9012316.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
19_P_CS_S29_R2_001_val_2	2613.0	2504.0	3086.0	2830.0	2912.0	2768.0	2627.0	2628.0	2478.0	2526.0	2563.0	2609.0	2755.0	2829.0	3059.0	3441.0	3756.0	3991.0	4375.0	4887.0	5725.0	7155.0	9431.0	14337.0	51664.0	171409.0	3762776.0	9708323.0	5922584.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
19_R_AG_S15_R1_001_val_1	3193.0	9930.0	28951.0	47569.0	68143.0	94408.0	126243.0	133830.0	139768.0	161019.0	180305.0	178491.0	168865.0	162692.0	170845.0	224620.0	240818.0	209077.0	180968.0	174900.0	177424.0	183990.0	181201.0	207476.0	681383.0	926270.0	2795118.0	215380.0	6145926.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
19_R_AG_S15_R2_001_val_2	2117.0	2071.0	2809.0	2248.0	2528.0	2173.0	2044.0	1844.0	1778.0	1746.0	1916.0	2044.0	2115.0	2170.0	2348.0	2597.0	3000.0	3089.0	3608.0	4153.0	4544.0	5770.0	7427.0	11020.0	44424.0	143024.0	2719513.0	6964323.0	4270360.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
